Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
28,2,38,29,0.004915106128284223,88,0.03478701040148735
24,1,51,31,0.006078083620074885,113,0.2209620624780655
18,2,33,19,0.0072886295793488706,98,0.04715331271290779
19,3,50,27,0.004676088863683836,33,0.06011724844574928
24,2,45,29,0.0015958918292272503,104,0.03669191896915436
24,3,55,17,0.0012699847141936316,99,0.03071339800953865
18,2,56,28,0.008072013361810891,66,0.05937493219971657
17,3,62,16,0.003532478504305276,95,0.028580106794834137
27,2,37,18,0.006526577270780515,109,0.04025332257151604
16,1,60,32,0.009312506838400108,60,0.3317287564277649
29,2,51,31,0.00396076230499121,58,0.03553667664527893
26,3,41,18,0.003781099979231719,35,0.044961705803871155
31,3,64,19,0.0041559536982328175,101,0.025015098974108696
28,3,54,20,0.0025358840361106322,76,0.02402782067656517
22,2,62,30,0.007328526962406671,124,0.0378807932138443
25,2,39,32,0.0057751786750925545,109,0.034858670085668564
17,1,45,20,0.009644072620051227,94,0.33885160088539124
26,2,46,20,0.006059348642848059,59,0.04765190929174423
19,1,32,31,0.007755092917914558,117,0.31525444984436035
22,1,40,24,0.0037141922217047226,71,0.2736315131187439
25,3,57,26,0.0031004208530383682,40,0.03343126177787781
29,3,63,28,0.005771406433263443,76,0.038400303572416306
25,2,53,27,0.0008319395037221594,125,0.055764563381671906
17,3,61,28,0.007440360694371941,111,0.040920693427324295
24,3,49,25,0.0020191928790126374,39,0.028159843757748604
31,3,57,19,0.007584192416219664,36,0.08918406069278717
17,2,60,31,0.004205408219189629,56,0.03656662628054619
28,2,38,30,0.003438346280580426,115,0.031157564371824265
30,1,32,16,0.0037780026087645526,32,0.25181999802589417
25,1,56,25,0.005942392396539942,107,0.21877776086330414
20,2,39,30,0.0020403831387630143,112,0.04003329575061798
18,2,39,23,0.0013039043411088313,94,0.046450015157461166
21,1,48,19,0.008589841427392811,42,0.3551732301712036
16,2,64,25,0.00037766597021754683,117,0.10140708088874817
23,1,61,24,0.00094479787593622,82,0.25260236859321594
30,3,36,29,0.0019677383423494874,43,0.026873091235756874
27,2,55,16,0.00814064704480513,76,0.05412209779024124
23,3,55,29,0.004979502062382216,80,0.03227287158370018
18,2,40,22,0.005551888119205834,58,0.04612623527646065
17,2,41,21,0.009142935592693356,93,0.05364713445305824
18,2,56,32,0.003984791194534741,100,0.03659310191869736
21,3,56,17,0.0008754317153585425,74,0.03983096405863762
29,3,37,27,0.002353642985244577,45,0.02897987700998783
32,2,57,16,0.0018399366528177254,59,0.02768458053469658
32,1,41,30,0.005489148198630512,69,0.3360369801521301
23,2,39,30,0.004165282608664349,121,0.03100072406232357
22,2,57,25,0.005570467560235163,107,0.03450333699584007
