Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
20,1,50,23,0.00648363295995786,87,0.21421189606189728
23,3,63,20,0.001060790232664561,39,0.03023531287908554
20,3,41,31,0.004553595872317073,93,0.03199256956577301
26,3,49,31,0.00894184603563038,58,0.0802258774638176
17,2,35,18,0.005890718730461597,125,0.036572445183992386
31,3,51,29,0.005165862984899921,88,0.03360950946807861
23,2,32,19,0.00039876090203457465,70,0.07501717656850815
19,3,57,29,0.008944906104862718,112,0.04562715068459511
27,2,53,30,0.004327565843905301,47,0.038469623774290085
25,2,52,20,0.008809151189176532,57,0.07133965194225311
19,2,63,16,0.0055370431643258205,44,0.03961667791008949
30,3,58,20,0.009508470002601212,98,0.044607341289520264
18,1,62,20,0.006687060744276876,121,0.25004008412361145
30,2,51,25,0.0004023300811403095,120,0.06800826638936996
23,1,36,26,0.003541316101594027,98,0.26966410875320435
26,3,50,31,0.002687876107311264,87,0.02827243134379387
27,3,45,32,0.009436497857384556,92,0.046133097261190414
20,1,54,18,0.005155488543616223,37,0.31229496002197266
28,3,54,17,0.00639677427038479,73,0.03416047617793083
25,2,49,31,0.008758829772992718,109,0.050851792097091675
17,3,59,19,0.005672394616221547,99,0.03465482220053673
23,1,44,32,0.007461247675495266,122,0.3107454776763916
17,3,34,30,0.0016782310105420025,64,0.03736754134297371
30,3,33,26,0.003804043473258998,54,0.03143230825662613
32,3,43,21,0.001603916230741428,124,0.03054259903728962
31,2,35,28,0.00809549189443467,45,0.05679373815655708
19,3,47,32,0.0008348789058451022,32,0.03336700052022934
32,2,59,18,0.00629514626193827,72,0.035641659051179886
21,3,51,20,0.00896368964606422,103,0.04001511260867119
27,3,46,30,0.0014465889218741985,41,0.026326023042201996
30,1,41,22,0.00379568876834796,67,0.23755522072315216
24,2,50,29,0.0010707311258586123,113,0.04919480159878731
21,2,33,17,0.005005534501370841,53,0.04399479553103447
31,3,41,20,0.003490494173281174,51,0.026875704526901245
30,2,39,19,0.004502705633786581,123,0.03027307242155075
31,1,45,27,0.004925987765689567,119,0.20850476622581482
24,1,44,28,0.006761659402943818,59,0.26000240445137024
28,2,59,17,0.003491786228765253,53,0.03184622526168823
30,2,53,31,0.0010698674080167792,42,0.02981693483889103
18,3,33,20,0.0032651832902330373,40,0.03746857866644859
19,1,52,24,0.004414916475131119,38,0.2447524517774582
31,1,64,20,0.009874496734194846,92,0.3093774616718292
28,2,38,24,0.007568160269279416,66,0.047554194927215576
31,2,38,24,0.0024239567655732945,122,0.035621389746665955
26,3,62,20,0.003749248019897714,104,0.028311248868703842
25,2,51,22,0.005339255622430253,55,0.038500670343637466
26,1,53,20,0.00829018374589621,46,0.3180040717124939
