Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
115,193,0.0016401452459869476,57,1.008329153060913
201,70,0.0012236010434720365,69,1.291119933128357
219,131,0.00964253845516293,105,0.39464613795280457
213,215,0.0030774013151174478,59,0.5287529230117798
100,215,0.004958809195742151,79,0.511281430721283
68,147,0.003055479307758438,36,0.4406229257583618
204,128,0.009879704984515411,78,0.34421858191490173
168,152,0.008396969858736378,121,0.46348464488983154
48,196,0.0009712872761267247,126,2.2104504108428955
68,239,0.005372037876918805,93,0.5951633453369141
32,179,0.006883012671534642,48,0.36754629015922546
106,78,0.0008058609460021487,73,2.0102996826171875
84,210,0.0007558992777905249,74,2.1325581073760986
161,138,0.00036754062963531683,36,1.9520124197006226
188,168,0.00038529257135433876,82,2.2017335891723633
221,173,0.004172240812748472,95,0.6007009148597717
236,46,0.004906962082607197,75,0.4814378321170807
226,218,0.0026966668853534745,105,1.061201572418213
66,48,0.007655543848589743,125,0.5712918639183044
214,233,0.004771319711328353,89,0.528169572353363
36,176,0.0003755808036790134,110,2.26751708984375
71,156,0.009382587179235596,76,0.3730855882167816
236,34,0.009355866353599055,112,0.4163399636745453
94,196,0.0016409898271129242,99,1.7736575603485107
208,246,0.00593357987493094,101,0.4944347143173218
242,99,0.007510917835550618,119,0.46169400215148926
156,192,0.005028155315174306,52,0.3924104571342468
124,79,0.005323823449244582,43,0.35352733731269836
134,36,0.003393878642823814,55,0.5028222799301147
173,234,0.001315741847109459,62,1.359056830406189
154,75,0.0027715803070060612,56,0.5490989089012146
105,170,0.008243526816677922,74,0.3727775812149048
78,252,0.0009617293347476854,65,2.089127540588379
145,172,0.004837982639894915,100,0.5875555872917175
256,226,0.0020345525527314307,98,1.2503348588943481
220,127,0.008600822089998551,80,0.35894206166267395
103,62,0.006231613888238565,58,0.38381949067115784
132,246,0.005269847381705282,116,0.7140588164329529
83,133,0.0013170474008592035,92,1.9323946237564087
112,196,0.007723040318990076,111,0.4666159152984619
220,45,0.00033247869015297674,82,0.11373071372509003
198,201,0.0006750108205079017,49,0.04810839891433716
234,154,0.0056138643265637896,114,0.04652862250804901
172,143,0.007056203249540979,76,0.07620980590581894
112,39,0.004206937523296816,92,0.052218448370695114
191,53,0.00329833925604233,79,0.04362012445926666
129,189,0.007763599730371232,94,0.0732879564166069
124,38,0.008016167239591991,63,0.08979243785142899
41,217,0.0033365404109275756,40,0.08435672521591187
211,55,0.005191826162654299,77,0.05432553589344025
59,141,0.004592228645562695,86,0.06438340246677399
137,148,0.0008985824781296137,74,0.05878569185733795
130,120,0.008427481498084524,100,0.08018168061971664
191,49,0.001637665827005935,111,0.04781856760382652
78,56,0.0035415049122365667,99,0.056032195687294006
115,166,0.004737135187412463,83,0.05508070066571236
45,203,0.007803562650498115,122,0.08332611620426178
204,117,0.0027982961979772943,33,0.05344926193356514
210,107,0.0022193047451913245,65,0.038972824811935425
160,106,0.007546097231023401,105,0.06753811240196228
