Optimizer,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Ftrl,74,192,0.00656989540792914,96,2.301210403442383
Nadam,52,188,0.002960335211214403,115,0.0575188584625721
AdamW,227,80,0.008161378465738936,118,0.05426819622516632
AdamW,171,33,0.0021276509369681012,116,0.04378484562039375
Nadam,118,103,0.008101092592173408,55,0.0770888477563858
RMSprop,116,59,0.006862439327689262,35,0.1346975862979889
Adafactor,182,74,0.0072589827544311284,100,0.07674361020326614
AdamW,149,73,0.009279914478084376,41,0.09036529064178467
Adafactor,150,67,0.008491589135429035,80,0.06787794828414917
Adamax,112,159,0.0007375146719193998,54,0.13900960981845856
Adamax,237,192,0.00033122106589951575,76,0.1722172498703003
RMSprop,122,63,0.0014580074998545227,59,0.05181724950671196
AdamW,160,111,0.000256101652968554,77,0.11397925764322281
Adam,167,111,0.003931523193921827,49,0.05256442353129387
Adadelta,230,86,0.003114234116552825,98,1.6776056289672852
Ftrl,116,197,0.00442254703025744,39,2.3012592792510986
Nadam,126,97,0.0058972431100817934,123,0.048967666923999786
Nadam,80,127,0.0028740604843909127,106,0.046881552785634995
Adafactor,117,221,0.009377860299799349,44,0.05645040422677994
RMSprop,71,108,0.0026976257616107436,112,0.05541617423295975
Ftrl,143,62,0.0024481224778633167,96,2.3015458583831787
Adamax,73,203,0.005247352017816554,86,0.061989519745111465
SGD,100,79,0.0032017921052393196,56,0.5271917581558228
Ftrl,203,94,0.004410484646104476,95,2.3012914657592773
Adamax,213,157,0.008531030709784148,107,0.0322178490459919
Adam,156,96,0.009186050098445846,85,0.06972642987966537
Adagrad,243,185,0.006870192157805555,114,0.31119802594184875
Adagrad,54,168,0.00794316546952452,58,0.265045166015625
Adagrad,218,195,0.0016299826264690059,120,0.6811614036560059
Adafactor,179,256,0.009181956897968527,34,nan
AdamW,54,169,0.003261393383998989,65,0.05785101652145386
Adam,239,212,0.005431553546758385,68,0.056495003402233124
Adamax,130,162,0.0030707901989593107,105,0.061332084238529205
Adagrad,157,156,0.0022535939739270123,109,0.5061390399932861
Adadelta,220,207,0.0021246661450579412,103,1.9566559791564941
Adamax,111,88,0.00952182627443251,56,0.03950871154665947
Adamax,221,143,0.0028733479605415305,104,0.05025014653801918
Adamax,79,140,0.007559450790937353,41,0.04897727072238922
Nadam,204,238,0.008986018797249298,57,0.08197156339883804
Adamax,33,176,0.004421115642636378,62,0.09017712622880936
Adam,221,146,0.0032900352210003267,79,0.04118064418435097
Adadelta,46,34,0.0055343668415017205,116,1.9254698753356934
Nadam,66,213,0.00015746346552706966,45,0.16171081364154816
Adam,219,200,0.0023065280956414327,114,0.03414762020111084
Adadelta,91,164,0.003843936828098173,84,1.7482961416244507
RMSprop,36,150,0.005800358282803248,69,0.09967809915542603
RMSprop,205,214,0.006419464425476931,104,0.05566122382879257
RMSprop,108,151,0.009965026201143574,32,0.21079455316066742
Adadelta,182,158,0.0007374192272761069,82,2.1929638385772705
AdamW,87,112,0.0038199963827520176,39,0.05904978886246681
SGD,236,93,0.0004285747568938212,102,2.1721012592315674
Adagrad,102,171,0.001022803431278832,73,0.7945170998573303
Adagrad,204,55,0.0083640119036037,79,0.25990578532218933
SGD,61,178,0.004047997310537429,68,0.587666928768158
Adamax,65,151,0.0013616150982977374,48,0.1196090579032898
RMSprop,202,185,0.0038955415230752296,116,0.0418168306350708
Adam,196,49,0.005119676242465531,93,0.046597905457019806
Ftrl,188,115,0.003878272333741833,87,2.3013241291046143
Ftrl,54,230,0.0035613634041930377,105,2.3013722896575928
Adadelta,256,44,0.004984428518690825,106,1.312272310256958
