Name,Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
RMSprop,18,1,41,18,0.006778512499877015,114,0.32892394065856934
Nadam,28,1,49,20,0.006998750718227381,52,0.2427135407924652
Nadam,18,1,34,29,0.006557028681308744,109,0.23935182392597198
Ftrl,32,2,48,29,0.004030143846769401,119,2.301344633102417
RMSprop,30,1,60,30,0.006085442065449116,43,0.32606494426727295
Adadelta,18,3,60,22,0.006189559841373655,73,0.909428596496582
SGD,29,3,46,22,0.005763006716182671,101,0.2409023493528366
Adadelta,22,1,61,26,0.006591443400908215,99,1.9407320022583008
Adamax,25,2,50,16,0.008943478370983034,70,0.03526417165994644
Ftrl,20,2,56,16,0.00016836175410640843,112,2.302464246749878
Adagrad,20,2,64,29,0.006874750734867388,102,0.17090411484241486
RMSprop,28,1,46,25,0.008365649511456894,79,0.31676605343818665
Adafactor,16,1,51,23,0.00654234019758608,82,nan
SGD,32,2,64,28,0.002451380472620058,81,0.4124862849712372
Adagrad,31,1,53,22,0.007493612699969839,111,0.4375690817832947
Adafactor,29,2,52,26,0.00984523667363694,84,nan
Adamax,24,3,32,25,0.009599462726185008,90,0.03976953774690628
Adafactor,21,1,37,23,0.00013258243934343946,97,nan
RMSprop,20,1,43,23,0.0010508601551162278,96,0.2834932506084442
Adagrad,16,2,36,26,0.0015295511024061338,70,0.4805566072463989
SGD,32,3,40,21,0.0021347044328953583,62,0.26117396354675293
Adamax,26,2,54,25,0.00916565466918884,67,0.029684780165553093
RMSprop,18,1,52,26,0.0062317992421990105,33,0.33358490467071533
Adagrad,18,3,40,18,0.0013038258392219842,45,0.29219427704811096
RMSprop,23,2,32,19,0.0030794730057824853,45,0.038169849663972855
RMSprop,26,2,59,32,0.004653972267902364,67,0.03525972738862038
AdamW,16,1,43,23,0.005565410514975708,101,0.2535541355609894
Ftrl,21,2,47,24,0.00958487889898477,95,2.3011910915374756
AdamW,26,3,62,28,0.0034588560777412754,39,0.029105762019753456
AdamW,32,3,58,21,0.00023932403192170645,127,0.08470926433801651
Adadelta,30,2,54,28,0.006854284181470948,96,0.8429762125015259
Adamax,19,2,32,28,0.009695812720187538,94,0.04129163175821304
Nadam,22,3,49,16,0.002199057283279301,66,0.03007557801902294
Nadam,24,2,46,26,0.009407365366861094,57,0.05073454976081848
